PDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
D            D      D            D       D       D
D            D      D    E       D       D       D
D            D      D            D       D       D
D            D      D            D       D       D
D            D      D            D       D   E   D
D     E      DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
