DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
DDDD                          DDDD
DDDD                          DDDD
DDDD                          DDDD
DDDD                          DDDD
DDDD                          DDDD
DDDD                          DDDD
DDDD                          DDDD
DDDD                    P     DDDD
DDDD            GGGGGGGGGGGGGGDDDD
DDDD            DDDDDDDDDDDDDDDDDD
DDDD            DDDDDDDDDDDDDDDDDD
DDDD            DDDDDDDDDDDDDDDDDD
DDDD            DDDDDDDDDDDDDDDDDD
DDDD            DDDDDDDDDDDDDDDDDD
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD

Quit map building at this point

List : 

P = player & camera -> spawn point
D = dirt -> block
G = grass -> block
